SampleID CatchmentArea CosmoErate CosmoError MeanChiGradient SD SErr
BEAN-1 1.43222e+07 42.82 3.7 0.851976 0.483432 0.0104476
BEAN-2 3.1548e+06 44.23 3.7 0.796673 0.547259 0.0205769
BEAN-4 2.45978e+06 64.34 5.3 0.719498 0.375857 0.0179987
BEAN-5 1.56222e+06 44.49 3.8 0.754651 0.348537 0.0245879
BEAN-7 213025 90 7.2 0.788178 0.418562 0.0573315
FR-4 112775 252.02 66.6 1.65061 0.448294 0.15957
FR-5 30650 132.512 31.9 0.965749 0.000142789 0.168115
FR-6 190625 34.83 2.7 1.27114 0.197011 0.149805
FR-7 640900 18.26 2 0.845204 0.26627 0.0836877
BRB-2 179000 38.14 3.4 0.855152 0.0268634 0.103702
BRB-6 50150 35.21 4.7 0.81852 7.81175e-05 0.187781
BRB-8 125975 88.92 8.5 1.04766 0.0590685 0.104767
FT-3 2.06778e+06 25.83 2.3 0.62119 0.588791 0.0282068
FT-4 7.76428e+06 24.57 2.2 0.319161 0.42826 0.0073453
FT-6 1.45005e+06 23.19 2.1 0.427528 0.201595 0.0247661
BS-1 357200 98.62 9.7 1.41609 0.35712 0.119256
SB-1 445700 74.25 6.6 1.4842 0.354684 0.133826
